env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 7.4286 1.2857 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 0 0 0
2 3 0 0 0 0 0
2 4 0 0 0 0 0
2 5 0 0 0 0 0
2 6 0 0 0 0 0
2 7 0 0 0 0 0
2 8 0 0 0 0 0
2 9 0 0 0 0 0
2 10 0 0 0 0 0
2 11 0 0 0 0 0
2 12 0 0 0 0 0
2 13 0 0 0 0 0
2 14 0 0 0 0 0
2 15 0 0 0 0 0
2 16 0 0 0 0 0
2 17 0 0 0 0 0
2 18 0 0 0 0 0
2 19 0 0 0 0 0
2 20 0 0 0 0 0
2 21 0 0 0 0 0
2 22 0 0 0 0 0
2 23 0 0 0 0 0
2 24 0 0 0 0 0
2 25 0 0 0 1 0
2 26 0 0 0 1 0
2 27 0 0 0 1 0
2 28 0 0 0 1 0
2 29 0 0 0 1 0
2 30 0 0 0 1 0
2 31 0 0 0 1 0
2 32 0 0 0 1 0
2 33 0 0 0 1 0
2 34 0 0 0 1 0
2 35 0 0 0 1 0
2 36 0 0 0 1 0
2 37 0 0 0 1 0
2 38 0 0 0 1 0
2 39 0 0 0 1 0
2 40 0 0 0 1 0
2 41 0 0 0 0 0
2 42 0 0 0 0 0
2 43 0 0 0 0 0
2 44 0 0 0 0 0
2 78 0 0 -15 -2 -5
2 79 0 0 0 49 -1
2 80 0 0 -8 94 -17
2 81 0 0 -5 143 19
2 82 0 0 -5 192 -18
2 83 0 0 -1 236 30
2 84 0 0 -3 283 -11
2 85 0 0 0 321 28
2 86 0 0 -3 356 -7
2 87 0 0 0 386 22
2 88 0 0 -2 413 -2
2 89 0 0 0 437 15
2 90 0 0 -2 462 5
2 91 0 0 0 474 12
2 92 0 0 0 493 12
2 93 0 0 0 499 10
2 94 0 0 4 512 15
2 95 0 0 2 514 7
2 96 0 0 9 524 -4
2 97 0 0 5 504 -5
3 2 0 0 0 0 0
3 3 0 0 0 0 0
3 4 0 0 0 0 0
3 5 0 0 0 0 0
3 6 0 0 0 0 0
3 7 0 0 0 0 0
3 8 0 0 0 0 0
3 9 0 0 0 0 0
3 10 0 0 0 0 0
3 11 0 0 0 0 0
3 12 0 0 0 0 0
3 13 0 0 0 0 0
3 14 0 0 0 0 0
3 15 0 0 0 0 0
3 16 0 0 0 0 0
3 17 0 0 0 0 0
3 18 0 0 0 0 0
3 19 0 0 0 0 0
3 20 0 0 0 0 0
3 21 0 0 0 0 0
3 22 0 0 0 0 0
3 23 0 0 0 0 0
3 24 0 0 0 0 0
3 25 0 0 0 1 0
3 26 0 0 0 1 0
3 27 0 0 0 1 0
3 28 0 0 0 1 0
3 29 0 0 0 1 0
3 30 0 0 0 1 0
3 31 0 0 0 1 0
3 32 0 0 0 1 0
3 33 0 0 0 1 0
3 34 0 0 0 1 0
3 35 0 0 0 1 0
3 36 0 0 0 1 0
3 37 0 0 0 1 0
3 38 0 0 0 1 0
3 39 0 0 0 1 0
3 40 0 0 0 1 0
3 41 0 0 0 0 0
3 42 0 0 0 0 0
3 43 0 0 0 0 0
3 44 0 0 0 0 0
3 78 0 0 -64 10 0
3 79 0 0 -43 36 0
3 80 0 0 -61 98 0
3 81 0 0 -89 153 -1
3 82 0 0 -34 184 3
3 83 0 0 -82 236 -9
3 84 0 0 -22 266 -1
3 85 0 0 -74 305 -10
3 86 0 0 -12 332 0
3 87 0 0 -64 362 -9
3 88 0 0 -3 384 1
3 89 0 0 -56 407 -8
3 90 0 0 3 425 2
3 91 0 0 -49 442 -7
3 92 0 0 11 455 3
3 93 0 0 -39 461 -5
3 94 0 0 19 481 4
3 95 0 0 -34 477 -12
3 96 0 0 -18 516 -17
3 97 0 0 6 493 11
4 2 0 0 0 0 0
4 3 0 0 0 0 0
4 5 0 0 0 0 0
4 7 0 0 0 0 0
4 8 0 0 0 0 0
4 10 0 0 0 0 0
4 12 0 0 0 0 0
4 14 0 0 0 0 0
4 17 0 0 0 0 0
4 19 0 0 0 0 0
4 21 0 0 0 0 0
4 23 0 0 0 0 0
4 25 0 0 0 1 0
4 27 0 0 0 1 0
4 29 0 0 0 1 0
4 31 0 0 0 1 0
4 33 0 0 0 1 0
4 35 0 0 0 1 0
4 37 0 0 0 1 0
4 39 0 0 0 1 0
4 41 0 0 0 1 0
4 42 0 0 0 0 0
4 43 0 0 0 0 0
4 44 0 0 0 0 0
4 78 0 0 -169 5 26
4 79 0 0 -123 55 -3
4 80 0 0 -95 93 0
4 81 0 0 -96 134 0
4 84 0 0 -101 297 1
4 86 0 0 -80 365 -1
4 89 0 0 -64 409 0
4 91 0 0 -48 450 0
4 93 0 0 -33 473 -1
4 95 0 0 -21 501 -16
4 96 0 0 -32 515 -24
4 97 0 0 -3 475 13
5 2 0 0 0 0 0
5 3 0 0 0 0 0
5 42 0 0 0 0 0
5 43 0 0 0 0 0
5 44 0 0 0 0 0
5 78 0 0 -203 3 0
5 79 0 0 -180 69 -3
5 80 0 0 -139 85 1
5 81 0 0 -164 154 -1
5 82 0 0 -117 237 -3
5 96 0 0 -8 509 -26
5 97 0 0 1 486 2
6 2 0 0 0 0 0
6 3 0 0 0 0 0
6 5 0 0 0 0 0
6 7 0 0 0 0 0
6 8 0 0 0 0 0
6 10 0 0 0 0 0
6 12 0 0 0 0 0
6 14 0 0 0 0 0
6 16 0 0 0 0 0
6 19 0 0 0 0 0
6 21 0 0 0 0 0
6 23 0 0 0 0 0
6 25 0 0 0 0 0
6 27 0 0 0 1 0
6 29 0 0 0 1 0
6 31 0 0 0 1 0
6 33 0 0 0 1 0
6 35 0 0 0 1 0
6 37 0 0 0 1 0
6 39 0 0 0 1 0
6 41 0 0 0 1 0
6 42 0 0 1 0 0
6 43 0 0 1 0 0
6 44 0 0 1 0 0
6 78 0 0 -281 -3 37
6 79 0 0 -211 33 0
6 80 0 0 -243 161 2
6 84 0 0 -165 328 0
6 86 0 0 -133 389 0
6 89 0 0 -105 433 0
6 91 0 0 -79 471 0
6 93 0 0 -56 496 -1
6 95 0 0 -33 520 -18
6 96 0 0 -37 524 -28
6 97 0 0 -11 484 1
