env_min(m) 0.0000 0.0000 0.0000
env_max(m) 10.0000 10.0000 3.0000
NumCells_XYZ 100 100 30
CellSizes_XYZ[m] 0.1000 0.1000 0.1000
GasSourceLocation_XYZ[m] 0.7857 3.0000 0.5000
GasType ethanol
Cell_x	 Cell_y	 Cell_z	 Gas_conc[10^⁻3ppm]	 Wind_u[10^⁻3m/s]	 Wind_v[10^⁻3m/s]	 Wind_w[10^⁻3m/s]
2 2 0 0 -45 536 -44
2 3 0 0 -7 533 49
2 4 0 0 18 515 0
2 5 0 0 -2 509 -14
2 6 0 0 14 612 3
2 7 0 0 -3 585 -8
2 8 0 0 17 646 9
2 9 0 0 6 613 0
2 10 0 0 21 679 8
2 11 0 0 10 644 -1
2 12 0 0 21 713 8
2 13 0 0 12 678 0
2 14 0 0 20 747 7
2 15 0 0 12 712 0
2 16 0 0 21 780 7
2 17 0 0 13 746 0
2 18 0 0 21 809 6
2 19 0 0 13 775 -1
2 20 0 0 22 833 6
2 21 0 0 15 798 -1
2 22 0 0 21 851 6
2 23 0 0 15 815 0
2 24 0 0 22 864 6
2 25 0 0 17 827 0
2 26 0 0 22 872 6
2 27 0 0 18 835 0
2 28 0 0 23 877 6
2 29 0 0 19 841 0
2 30 0 1089 23 881 6
2 31 0 0 19 844 0
2 32 0 0 24 883 6
2 33 0 0 20 846 0
2 34 0 0 23 884 6
2 35 0 4460 19 847 0
2 36 0 0 24 884 6
2 37 0 0 20 847 0
2 38 0 0 24 883 6
2 39 0 0 20 845 0
2 40 0 5965 25 882 6
2 41 0 0 21 843 0
2 42 0 0 26 878 6
2 43 0 0 21 839 0
2 44 0 0 27 873 6
2 45 0 4577 22 832 0
2 46 0 0 28 865 6
2 47 0 0 23 823 0
2 48 0 0 30 852 7
2 49 0 0 24 809 0
2 50 0 3671 33 835 7
2 51 0 0 26 789 1
2 52 0 0 36 810 8
2 53 0 0 28 761 0
2 54 0 0 39 775 9
2 55 0 3257 29 724 0
2 56 0 0 42 731 10
2 57 0 0 31 677 1
2 58 0 0 45 672 11
2 59 0 0 31 617 0
2 60 0 3609 45 607 11
2 61 0 0 29 553 0
2 62 0 0 43 537 11
2 63 0 0 24 487 -1
2 64 0 0 40 470 10
2 65 0 4715 19 424 -2
2 66 0 0 35 406 10
2 67 0 0 14 366 -3
2 68 0 0 31 348 9
2 69 0 0 11 314 -3
2 70 0 4651 26 295 9
2 71 0 0 7 267 -3
2 72 0 0 22 249 8
2 73 0 0 5 226 -3
2 74 0 0 18 208 7
2 75 0 5937 3 190 -3
2 76 0 0 15 172 6
2 77 0 0 2 158 -3
2 78 0 0 12 141 5
2 79 0 0 2 130 -3
2 80 0 2496 10 114 5
2 81 0 0 1 107 -2
2 82 0 0 8 91 4
2 83 0 0 1 86 -2
2 84 0 0 7 71 3
2 85 0 2892 1 68 -2
2 86 0 0 8 55 3
2 87 0 0 1 52 -1
2 88 0 0 7 41 2
2 89 0 0 2 39 -1
2 90 0 3084 6 30 2
2 91 0 0 3 27 0
2 92 0 0 5 19 1
2 93 0 0 3 17 0
2 94 0 0 3 11 0
2 95 0 1231 3 10 0
2 96 0 0 1 3 0
2 97 0 0 1 0 0
3 2 0 0 -111 495 -6
3 3 0 0 -7 538 0
3 4 0 0 29 516 8
